SrcDatabase-来源库	Title-题名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	PubTime-发表时间	FirstDuty-第一责任人	Fund-基金	Year-年	Volume-卷	Period-期	PageCount-页码	CLC-中图分类号	URL-网址	DOI-DOI
CJFD2020	探讨分级医疗制度在口腔医学诊疗中的必要性与模型	王玉敏;李月琳;宋丹青;朱胜祖;张雪峰;	滨州医学院口腔医学院;滨州医学院烟台附属医院口腔科;滨州医学院临床医学院;滨州医学院烟台附属医院神经外科;	中国继续医学教育	口腔专科;;分级诊疗;;问卷调查;;分层抽样;;信息共享平台;;医疗卫生	"目的分析滨州市居民口腔健康状况和分级诊疗制度实施的现状,探讨促进滨州市分级诊疗进一步完善的对策。方法运用分层抽样的方法,选取滨州市滨城区400个居民和3个县区的医疗卫生机构作为研究对象,用编制的问卷进行调查。结果不同年龄间居民ohip-14量表除""残障""外差异均有统计学意义(P> 0.05)。不同户籍类型间居民在""生理性疼痛""""残障""差异有统计学意义(P> 0.05)。滨州地区居民在""生理性疼痛""(占17.7%)、""生理障碍""(14.0%)产生的负面影响较突出,而对""社交障碍""(占3.6%)、""残障""(占2.8%)产生负面影响较少。结论滨州地区由于分级诊疗构架不完善、医院间信息共享不足,导致在口腔健康相关生活质量方面,60岁及60岁以上居民差于12～60岁居民、农业户籍居民差于城镇户籍居民。应进行社区诊所口腔科的改革,加快建立医生患者信息共享平台。"	2020-12-30	王玉敏;		2020	12	36	94-101	R197.1		
CJFD2020	分级诊疗背景下农村乡镇卫生院运行情况分析	李壮;李卫平;	北京中医药大学管理学院;国家卫生健康委卫生发展研究中心;	广西医学	分级诊疗;;乡镇卫生院;;基层医疗卫生服务市场	"目的探讨分级诊疗背景下农村乡镇卫生院运行过程中存在的问题,进而提出""强基层""的对策和建议。方法采用典型调查方法,抽取安徽省某市3个县区(A区、B县、C县)全部乡镇卫生院,收集其相关卫生计生部门2014～2017年的统计数据,对比分析各县区乡镇卫生院的运行情况。结果财政对该市乡镇卫生院财政补助总额年均增长率约为12.42%;A区乡镇卫生院诊疗人次总体上呈波浪式上升趋势;B、C两县出院人数总体上呈波浪式下降;A区、B县和C县工作总量年均增长速度分别为7.21%、2.32%和10.45%;2019年该市乡镇卫生院卫技人员占全部医疗机构卫技人员的比重、床位占比较2014年减少。结论财政经费的保障使乡镇卫生院财务运营压力得到缓解,但基层医疗卫生资源配置结构问题依旧存在,乡镇卫生院的服务能力亟待提高。建议完善绩效分配制度、医保报销制度,鼓励基层医务人员开展基本医疗服务,以促进分级诊疗的实施。"	2020-12-30	李壮;		2020	42	24	3260-3263	R197.62		
CJFD2021	基于远程技术和数据集成的分级诊疗平台设计	余先昊;张晓;	贵州商学院;贵州中医药大学;	现代电子技术	远程技术;;FHIR标准;;数据集成;;双向转诊;;分级诊疗平台;;TCP/IP远程通信协议	"分级诊疗平台收集的原始患者信息为异构数据,为科学分析患者病情、向各级医疗机构提供可靠的数据信息,必须统一诊疗数据格式。HL7的新FHIR标准擅长处理疾病、药品、检查指标等医学术语的语义操作问题,因此采用FHIR标准作为核心信息模型,统一转换异构诊疗数据格式,构建分级诊疗数据中心;利用TCP/IP远程通信协议远程传输分级诊疗数据,实现不同等级医疗机构远程通信;基于远程技术和数据集成设计的分级诊疗平台具备双向转诊功能,经过基层首诊后,病情严重患者申请到上级机构诊疗,治愈后转回下级机构接受康复治疗,最终实现分级诊疗。平台测试结果表明,分级诊疗平台将重症病人转入上级医疗机构,合理分配医疗资源、提高救助效率。"	2020-12-29	余先昊;	贵州省教育厅青年科技人才成长项目(黔教合KY[2017]227)	2021	44	01	176-180	TP311.52;R-05		10.16652/j.issn.1004-373x.2021.01.037
CJFD2020	基于分级诊疗体系的转诊与政府投资决策研究	马萌;韦才敏;李忠萍;	汕头大学数学系;汕头大学数字信号与图像处理技术重点实验室;大连理工大学管理学院;	经济数学	M/M/1排队;;分级诊疗;;政府投资策略;;转诊策略	"针对我国分级诊疗实施过程中,由于基层医疗机构服务能力不足所造成的""上转容易下转难""的困境,研究了政府部门对社区医院服务能力进行投资以促进病人下转的问题.通过构建四阶段的博弈模型,探讨了为实现医疗系统总病人效用最大化的政府资金均衡投入策略,为实现三甲医院期望效益最大化的病人下转策略,病人效用最大化下的社区医院服务能力规划以及基于期望效益最大化下的病人选择.研究发现:1)三甲医院的期望效益受到政府投资金额的影响,当政府投资金额不足时,三甲医院的期望效益仅能达到次优;2)三甲医院病人的均衡转诊率受到三甲医院的治疗价格和政府的资金投入量的影响;3)在实现整个医疗系统总病人效用最大化上,虽然总病人效用随政府投入金额的增加而增加,但从政府角度来讲,政府投资金额不宜过大."	2020-12-28	马萌;	国家社会科学基金重点项目(16AGL010)	2020	37	04	130-140	R197.1;D630		10.16339/j.cnki.hdjjsx.2020.04.016
CJFD2020	基于随机森林的医联体双向转诊智能决策研究与应用	周颖;胡外光;陈敏莲;胡珊珊;	湖南省儿童医院数据信息管理中心;	计算技术与自动化	双向转诊;;智能决策;;医联体;;随机森林	"针对医联体平台中实际双向转诊过程存在转诊安排不及时,患者不满意等问题,设计了一种基于随机森林的双向转诊智能决策方法。该方法选取影响转诊的5个主要因素,建立了包括床位数、床位使用率、疾病治愈率、治疗费用、相距距离五大指标的智能转诊评分模型;然后利用大数据和随机森林的方法对主要因素进行分析,以分数的形式来衡量待转诊医院适合度。实践效果表明,基于这5个主要因素的预测可以罗列出多种转诊方案,为转诊安排精准化决策提供一种依据,从而提高转诊效率。"	2020-12-28	周颖;	湖南省卫生健康委科研计划项目(20200502)	2020	39	04	134-137	R-05;TP18		10.16339/j.cnki.jsjsyzdh.202004024
CJFD2021	分级诊疗背景下社区居民全科医疗服务需求与就诊意向机构研究	汪晓露;黄哲;钱艳娟;原理;原爱红;	上海中医药大学附属上海市中西医结合医院全科医学科;上海中医药大学附属上海市中西医结合医院脉管科;上海中医药大学附属上海市中西医结合医院教学管理科;同济大学附属同济医院肾内科;	中国全科医学	"医院,综合;;全科医学;;需求;;就诊意向"	"背景分级诊疗是满足居民医疗服务需求、建立有序就诊环境的具体措施,目前对于社区居民全科医疗服务需求就诊机构选择的研究较少,了解居民接受对应服务的优先选择机构,对于建立有效的分级导流机制具有一定作用。目的了解社区居民对全科医学科提供的服务内容的需求情况和就诊机构选择情况,为建立良好的分级诊疗策略提供建议。方法于2019年7—10月,采取随机拦截的方式选取在上海中医药大学附属岳阳中西医结合医院和上海市虹口区全部8家社区卫生服务中心就诊的居民进行问卷调查。问卷包含居民一般情况、居民对一般全科医疗服务需求及就诊意向调查两部分,包括对28项全科服务内容的需求程度及对应全科服务内容的就诊机构选择倾向。结果本次调查共发放问卷2 000份,回收有效问卷1 961份,问卷有效回收率为98.05%。被调查居民对28项全科服务内容的需求率为67.82%～86.18%。居民需求率较高的前3项全科服务内容分别是建立个人健康档案[1 690例(86.18%)],优先预约就诊[1 688例(86.08%)],发生常见病、多发病时提供第一步诊疗[1 664例(84.85%)];居民需求率最低的3项全科服务内容分别是为恶性肿瘤患者、其他慢性病晚期患者、治疗无效患者提供临终关怀服务[1 330例(67.82%)],需要住院但疾病所属专科不明确时、提供过渡期间的病房服务[1 464例(74.66%)],由于经济、家庭或个人特殊情况无法继续在大医院治疗时提供后续诊疗、康复服务[1 519例(77.46%)]。居民倾向于前往综合性医院全科接受的前3项服务分别是在其他医院或科室无法明确诊断时进行诊疗、在其他医院/科室无法治疗时进行诊疗、发生复杂疑难病症时提供第一步诊疗;居民倾向于前往社区卫生服务中心全科接受的前3项服务分别是签约并提供综合、连续的签约服务,建立个人健康档案,制定针对性的健康管理方案。不同年龄居民对26项全科服务的需求率不同,对14项全科服务的就诊机构选择情况不同(P<0.05)。对全科了解程度不同的居民对26项全科服务的需求率不同,对所有全科服务的就诊机构选择情况不同(P<0.05)。结论不同年龄段、对全科诊疗熟悉程度不同的居民对服务内容、愿意进行首诊的诊疗机构的选择有差异。应充分发挥综合性医院全科医学科的作用,根据居民需求与社区卫生服务中心进一步差异化服务内容,提升居民对全科服务理念的认知,促进有序分诊。"	2020-12-28	汪晓露;	上海市卫生和计划生育委员会科研课题（201740188）;; 虹口区“国医强优”三年行动计划（2018—2020年）项目（HGY-ZHZL-2018-02）	2021	24	07	805-811	R197.1		
CJFD2020	应用体外膜氧合技术参与医联体内医院危重患者的抢救管理	叶卫国;胡炜;朱英;方欣;曾小康;蔡峰成;朱明丽;	浙江大学医学院附属杭州市第一人民医院重症医学科;浙江大学医学院附属杭州市第一人民医院院部后勤;杭州市第一人民医院集团附属杭州市妇产科医院产科;	中国体外循环杂志	体外膜氧合;;危重症;;急救护理;;院际转运;;医疗联合体	"目的总结应用体外膜氧合(ECMO)技术参与医联体内医院抢救危重患者的经验与体会,以供临床借鉴。方法选取2017年5月至2019年12月间本院ECMO团队在医联体内医院抢救13名危重患者中应用ECMO技术进行回顾,系统总结抢救流程与经验。结果 13例均在医联体内医院成功建立ECMO,ECMO团队到达目标医院至ECMO成功转机时间52～101(69.3±11.6)min;并通过120救护车安全进行院际转运至本院ICU病房,除3例发生ECMO置管处出血加重、1例发生管道扭曲外,未发生仪器故障、管道滑脱、循环不稳定等严重不良事件;经过系统的治疗和护理,7例成功撤离ECMO治疗并康复出院,4例ECMO治疗>15 d,呼吸和或循环衰竭无改善,尊家属意愿予自动出院,1例转上级医院等待肺移植,1例合并严重感染多脏器功能衰竭死亡。结论会诊前充分的人员、用物、流程及时间管理;ECMO建立过程中良好的医护配合等抢救管理;ECMO建立后安全的院际转运管理均是在医联体内医院成功开展ECMO抢救的关键。"	2020-12-28	叶卫国;		2020	18	06	337-341	R459.7		10.13498/j.cnki.chin.j.ecc.2020.06.05
CJFD2020	区域检验中心沟通体系建设的探索与实践	杨翌翔;韦薇;侯彦强;	上海市松江区中心医院检验科;	国际检验医学杂志	区域检验中心;;沟通;;分级诊疗	"与医疗机构内部检验科服务于临床科室不同,区域检验中心需要服务于辖区内多家医疗机构,因此,要保证各单位间沟通顺畅有赖于一套完整的沟通体系。该文以松江区临床医学检验中心为例,从沟通体系组织框架的构建,到沟通平台的建立,再到业务沟通的具体内容,详细介绍了区域检验中心建立覆盖辖区沟通体系的心得体会。"	2020-12-25	杨翌翔;	上海市医学重点专科建设类计划(ZK2019B09)	2020	41	24	3070-3072	R197.32		
CJFD2020	分级诊疗下社区医院颈动脉超声筛查脑卒中高危患者的应用价值	李明辉;白文坤;顾艳婷;	上海市奉贤区庄行镇邬桥社区卫生服务中心超声科;上海交通大学附属第六人民医院超声医学科;	上海医药	脑卒中;;超声检查;;颈动脉斑块;;分级诊疗	"目的 :探讨分级诊疗下社区医院使用颈动脉超声筛查脑卒中高危患者的应用价值。方法 :选取脑卒中患者80例作为观察组,同时选取无脑卒中患者80例作为对照组。两组均行颈动脉超声检查,统计斑块厚度、分布、声像类型和狭窄程度,比较不同类型斑块对脑卒中发生的影响。结果 :观察组患者均有不同程度斑块,检出率为100%,斑块以多发性为主,分布部位以颈总动脉分叉处最多;软斑48个,硬斑39个,溃疡斑46个;颈动脉完全闭塞0例,50%以上狭窄26例,50%以下狭窄54例。对照组中检出颈动脉斑块20例,检出率为25%,斑块多以硬斑为主,分布部位以颈总动脉分叉处最多;软斑2个,硬斑17个,溃疡斑1个;颈动脉完全闭塞0例,50%以上狭窄0例,50%以下狭窄20例。观察组软斑比例、硬斑比例、溃疡斑比例均高于对照组(P"	2020-12-25	李明辉;		2020	41	24	30-32+49	R445.1;R743.3		
CJFD2020	构建分级双向转诊医联体机制 推进现代公立医院战略性发展	张红;	辽宁省辽阳市中心医院;	经济研究导刊	医联体;;分级诊疗;;双向转诊;;对策	"当前,医联体分级诊疗实施取得了一定的效果,但仍有巨大发展空间,应进一步促进医疗资源的下沉,不断提高基层医院医疗服务能力,优化分级诊疗与双向转诊流程,提供必要的政策保障,逐步实现""基层首诊、双向转诊、急慢分治、上下联动""。"	2020-12-25	张红;		2020		36	149-151	R197.3		
CJFD2020	后扶贫时期远程医疗健康扶贫实施现状及障碍因素分析	朱虹;殷国桓;张小波;单凌寒;郝佳彤;韩月;刘兰茹;	哈尔滨医科大学人文社会科学学院药事管理教研室;哈尔滨医科大学附属第四医院老年病科;哈尔滨医科大学卫生管理学院社会医学教研室;哈尔滨医科大学马克思主义学院思想道德修养教研室;	中国医药导报	远程医疗;;健康扶贫;;实施现状;;障碍因素	"在国家政策引导及各地积极探索下,远程医疗健康扶贫不断扩大覆盖地域、丰富服务内涵、创新医疗模式。通过分析中国远程医疗健康扶贫实施现状,发现其面临资金投入、技术配置及维护、诊疗能力、认知及偏好、法规、制度及机制方面等的障碍因素。并提出探索贫困地区可持续、多元化的资金筹集与保障渠道,加强设施、技术及人才建设,推进远程医疗服务供给侧改革,激励医患的选择偏好,建立健全相关法规、制度及机制等建议,以期促进""后扶贫时期""远程医疗健康扶贫的长远发展及健康扶贫长效机制的健全。"	2020-12-25	朱虹;	黑龙江省哲学社会科学研究规划项目（18SHC231）	2020	17	36	8-11+19	R197.1;F323.8		
