SrcDatabase-来源数据库	Title-篇名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	PubTime-发表时间	Year-年	Period-期	URL-网址	DOI-DOI
CCND2010	基层医疗机构开始成为居民看病首选	本报记者 杨友艺	芜湖日报	芜湖日报	基层医疗机构;社区卫生服务中心;双向转诊;就诊人次;零差率;公立医院改革;		2010-11-25	2010			
CCND2010	市县医疗技术协作及双向转诊启动	记者 翟相哲	邯郸日报	邯郸日报	双向转诊;技术协作;		2010-11-19	2010			
CCND2010	上海曙光医院构建中医医疗联合体	本报记者 陈斐然	中国中医药报	中国中医药报	医疗联合体;曙光医院;社区卫生服务中心;		2010-10-28	2010			
CCND2010	扎兰屯市破解双向转诊“下转难”	记者 生焰明　通讯员 杨娟	健康报	健康报	双向转诊;基层医疗机构;扎兰屯市;		2010-10-25	2010			
CCND2010	解决非急诊病人占用急诊医疗资源	记者 顾晓红	联合时报	联合时报	急诊医疗;医疗联合体;急诊病人;社区卫生服务中心;		2010-10-08	2010			
CCND2010	浙医二院开通双向转诊预约系统	通讯员 方序　特约记者 俞欣	健康报	健康报	双向转诊;预约系统;社区卫生服务中心;		2010-09-23	2010			
CCND2010	“双向转诊”遭遇“肠梗阻”	深圳特区报记者 余海蓉　实习生 甘昕鑫	深圳特区报	深圳特区报	双向转诊;绿色通道;社康中心;基层医疗机构;肠梗阻;		2010-09-08	2010			
CCND2010	以患者满意为最高追求	本报记者 王丽强	石家庄日报	石家庄日报	患者满意;新农合;先心病;医疗费用;护士长;双向转诊;急性心梗;复明工程;心脏病;心脏中心;救治成功率;服务承诺;护理服务;		2010-08-13	2010			
CCND2010	13家海南医院病人可“双向转诊”到省医	记者 陈枫　金强 通讯员 郝黎	南方日报	南方日报	双向转诊;海南省卫生厅;广东省卫生厅;		2010-07-09	2010			
CCND2010	患者可轻松实现网上转诊	记者 王丽强	石家庄日报	石家庄日报	双向转诊;社区卫生服务管理;社区卫生服务机构;		2010-07-01	2010			
CCND2010	双向转诊成“单向” 上转容易下转难	本报记者 徐静　顾雯	南京日报	南京日报	双向转诊;社区医院;社区卫生服务中心;		2010-06-24	2010			
CCND2010	北京平谷启动分级诊疗试点	记者 闫龑 实习记者 甘贝贝	健康报	健康报	分级诊疗;平谷区医院;区域医疗中心;北京平谷;		2010-06-23	2010			
CCND2010	历经40余次修改 北京新医改能否修出“正果”？	本报记者 刘京玲	中国商报	中国商报	北京市;北京大学;按人头付费;社区卫生服务中心;民营医疗机构;医疗体系;按病种付费;中国商报;双向转诊;付费方式;社区医院;		2010-06-22	2010			
CCND2010	网络医疗平台产生两大正效应	本报记者 蒋炜宁	宁波日报	宁波日报	医疗平台;乡镇卫生院;优质医疗资源;分级医疗;社区医院;北仑区;双向转诊;正效应;		2010-06-17	2010			
CCND2009	42辆双向转诊车发给社区	记者 王丽强	石家庄日报	石家庄日报	双向转诊;社区卫生服务中心;		2009-12-17	2009			
CCND2009	百年名院完美转身	本报记者 肖国强　通讯员 方序	浙江日报	浙江日报	看病难;社区卫生服务中心;会诊系统;白内障手术;综合性医院;双向转诊;		2009-12-04	2009			
CCND2009	市政协领导督办重点提案	记者 朱萍 通讯员 王丛中	连云港日报	连云港日报	市政协;双向转诊;卫生局;		2009-12-02	2009			
CCND2009	小河社区创卫生服务新模式	黄杰	贵州日报	贵州日报	社区卫生服务机构;双向转诊;服务新模式;		2009-11-24	2009			
CCND2009	看病方式升级 百姓省钱又省心	本报记者 曹吟　吴丹	成都日报	成都日报	新医改方案;分级诊疗;双向转诊;个人健康档案;基层医疗卫生服务体系;基层首诊;电子病历;公共卫生服务体系;		2009-11-15	2009			
CCND2009	多措并举 提速发展 挖掘潜力 完善服务	云海	忻州日报	忻州日报	社区卫生服务中心;双向转诊;挖掘潜力;多措并举;		2009-11-13	2009			
CCND2009	糖尿病规范管理疗效好花钱少	记者王雪飞	健康报	健康报	糖尿病;双向转诊;控制率;		2009-09-21	2009			
CCND2009	社区卫生站，与患者零距离的路有多远?	时报记者 胡光华 实习生 王亮	福建工商时报	福建工商时报	卫生站;卫生服务站;社区卫生服务机构;双向转诊;		2009-09-16	2009			
CCND2009	今日起北京全面推行预约挂号服务	记者 闫龑　实习记者 严大鹏	健康报	健康报	预约挂号;层级就诊;双向转诊;全面推行;		2009-09-01	2009			
CCND2009	“政府埋单”将取代“以药养医”	本报记者 俞莹	贵阳日报	贵阳日报	以药养医;全额拨款;社区卫生服务机构;双向转诊;		2009-08-26	2009			
CCND2009	深圳社康：政府主导 院办院管	本报记者 慕欣	医药经济报	医药经济报	社康中心;陈伟业;双向转诊;妇幼保健;院办院管;社区健康服务中心;		2009-07-30	2009			
CCND2009	大庆油田总医院集团航母驶出区域卫生集团化成功之路	李建辉 本报记者 朱彤	黑龙江日报	黑龙江日报	大庆油田总医院;区域卫生;社区卫生服务站;社区卫生服务中心;医疗卫生事业;双向转诊;三级医院;集团化运作;社区医护人员;社区医疗服务;社区居民;成功之路;		2009-07-13	2009			
CCND2009	"厦门看病可“双向转诊”,不必去大医院扎堆"	记者 沈汝发	新华每日电讯	新华每日电讯	双向转诊;大医院;厦门市第一医院;区域卫生信息化;		2009-06-22	2009			
CCND2009	贵阳市试水大小医院“双向转诊”	姚煦　本报记者 王太师	贵州日报	贵州日报	双向转诊;社区医疗;云岩区;		2009-06-19	2009			
CCND2009	贵阳市政协对重点提案进行督办	记者 潘建	贵州政协报	贵州政协报	社区卫生服务站;双向转诊;		2009-05-28	2009			
CCND2009	加快推行双向转诊 合理利用卫生资源	本报记者 张震	贵阳日报	贵阳日报	双向转诊;卫生资源;社区卫生服务机构;		2009-05-27	2009			
CCND2009	山东启动“推进医学专家进社区”行动	记者 田洪顺	中国医药报	中国医药报	社区卫生服务机构;医学专家;双向转诊;		2009-05-19	2009			
CCND2009	“蜻蜓计划”今年推广到北京城八区		大众科技报	大众科技报	社区医生;慢性肾脏病;双向转诊;北京城;		2009-05-10	2009			
CCND2009	老百姓家门口就能享受大医院专家服务	记者 咸春玲	济南日报	济南日报	社区卫生服务机构;双向转诊;专家服务;		2009-05-10	2009			
CCND2009	“双向转诊”将给青城百姓带来更大实惠	本报记者 于亚军 实习生 明鹏丽	呼和浩特日报(汉)	呼和浩特日报(汉)	双向转诊;社区卫生服务机构;		2009-04-08	2009			
CCND2009	广州最大社区卫生服务中心挂牌	记者 叶芳 通讯员 简文杨	广东科技报	广东科技报	社区卫生服务中心;城市社区卫生服务;双向转诊;		2009-03-31	2009			
CCND2009	提高社区卫生服务能力	首席记者 高扬	牡丹江日报	牡丹江日报	社区卫生服务;双向转诊;		2009-03-03	2009			
CCND2009	建立医疗联合体编队作战	张鑫　特约通讯员 颜鹏飞	解放军报	解放军报	编队作战;医疗联合体;		2009-03-01	2009			
CCND2009	河大附院与卫生桥社区卫生服务站“双向转诊”	记者 高保元	保定日报	保定日报	社区卫生服务站;双向转诊;社区卫生服务机构;		2009-01-16	2009			
CCND2009	市南2008：亮点纷呈 精彩无限	本报通讯员 王哲	青岛日报	青岛日报	双向转诊;优质教育资源;社区居民;		2009-01-16	2009			
CCND2009	我市建立首个双向转诊服务体系	记者 赵瑞瑞	邯郸日报	邯郸日报	双向转诊;社区卫生服务站;丛台区;服务体系;		2009-01-14	2009			
CCND2009	医院与社区卫生服务站可“双向转诊”	记者 李飒	铁岭日报	铁岭日报	双向转诊;社区卫生服务站;社区卫生服务中心;		2009-01-14	2009			
CCND2009	专家学者“搭脉”双向转诊难	本报记者 仲崇山　陈晓春	新华日报	新华日报	双向转诊;社区医院;社区卫生服务机构;专家学者;		2009-01-06	2009			
CCND2008	余姚市创建杏林医疗联合体	记者 章关春　通讯员 陈明明	中国中医药报	中国中医药报	医疗联合体;卫生院;中医院;中医药服务;余姚市;		2008-11-26	2008			
CCND2008	天津：社区医院和上级医院可“双向转诊”	记者 姜明	工人日报	工人日报	双向转诊;社区医院;社区卫生服务机构;		2008-11-26	2008			
CCND2008	取信于民，社区医院方能担起“首诊”重任	本报记者 张克果 徐榕蔚	威海日报	威海日报	社区医院;社区首诊制;双向转诊;社区卫生服务机构;		2008-11-07	2008			
CCND2008	北流市人民医院扶持乡镇卫生院发展	通讯员 李宏伟　李华庄 记者 刘昆	光明日报	光明日报	乡镇卫生院;北流市;双向转诊;		2008-11-05	2008			
CCND2008	双向转诊方便就医	记者 宋德松通讯员 彭娜 金晓强	天津日报	天津日报	双向转诊;社区卫生服务站;三级医院;社区卫生服务机构;		2008-10-29	2008			
CCND2008	我市社区卫生服务推出双向转诊新举措	记者 董震	铁岭日报	铁岭日报	双向转诊;社区卫生服务;		2008-10-20	2008			
CCND2008	社区看病个人负担减一半	本报记者 晓红	中国劳动保障报	中国劳动保障报	双向转诊;首诊制;个人负担;		2008-10-18	2008			
CCND2008	贵阳试点社区医疗首诊和双向转诊	本报记者 王均珠	贵阳日报	贵阳日报	双向转诊;社区医疗;		2008-09-27	2008			
CCND2008	社区医院:离百姓越来越近	张成杰叶全意 本报记者 王惟	锦州日报	锦州日报	社区医院;定点医院;双向转诊;		2008-08-25	2008			
CCND2008	陕西双向转诊病人享受费用减免	葛云峰特约记者 焦晓宁	健康报	健康报	双向转诊;社区卫生服务机构;		2008-08-13	2008			
CCND2008	大医生走进小社区	戴律国见习记者 陈曦	中国劳动保障报	中国劳动保障报	社区卫生服务中心;三级医院;卫生服务站;医疗联合体;		2008-07-22	2008			
CCND2008	双向转诊：从利益博弈到无间合作	刘平安实习记者 张昊 通讯员 陆佩	健康报	健康报	双向转诊;出院病人;全科医生;社区卫生服务中心;二级医院;利益博弈;		2008-07-11	2008			
CCND2008	双向转诊：社区首诊制成型的“催化剂”	本报记者 龙巨澜	工人日报	工人日报	双向转诊;分级医疗;城镇居民医保;社区首诊制;社区卫生服务机构;		2008-06-25	2008			
CCND2008	目标：创海南西部龙头医院	本报记者 何文昌特约通讯员 周焕平	海南农垦报	海南农垦报	海南西部;医疗联合体;人才队伍建设;		2008-05-14	2008			
CCND2008	黑龙江增加社区卫生服务示范点	衣晓峰魏新刚 通讯员 宁国红	健康报	健康报	社区卫生服务;示范点;双向转诊;黑龙江;		2008-04-23	2008			
CCND2008	宁波北仑区双向转诊一举三得	通讯员 吴海翔记者 章关春	中国中医药报	中国中医药报	双向转诊;社区卫生服务机构;门诊量;北仑区;		2008-04-18	2008			
CCND2008	低保优抚人群社区就诊可享优惠	翟楠楠	河北日报	河北日报	社区就诊;惠民医院;社区卫生服务机构;社区首诊;双向转诊;		2008-04-18	2008			
CCND2008	湘雅医院强化社区服务职能	记者 谭克扬通讯员 伍西明	湖南日报	湖南日报	社区卫生服务机构;湘雅医院;双向转诊;社区服务;		2008-04-10	2008			
CCND2008	对口帮扶 双向转诊	兰文	湄洲日报	湄洲日报	双向转诊;社区卫生服务机构;对口帮扶;		2008-04-08	2008			
CCND2008	缙云“双向转诊”为患者就医省钱	李琳卢庆红 通讯员 蒋晓华	丽水日报	丽水日报	双向转诊;社区卫生服务中心;缙云县;		2008-03-23	2008			
CCND2008	进一步完善社区医院各项功能	樊玲	华兴时报	华兴时报	社区医院;双向转诊;		2008-02-25	2008			
CCND2008	重庆沙坪坝区实现“双向转诊”全覆盖	记者 周少诚	人民政协报	人民政协报	双向转诊;全覆盖;社区卫生服务;沙坪坝区;		2008-02-16	2008			
CCND2008	“一托一”今年改为“一托多”	记者 刘昊	北京日报	北京日报	社区医院;双向转诊;绿色通道;		2008-01-25	2008			
CCND2008	适当引入非公成分 提高居民信任度	本报记者 黄志军	法治快报	法治快报	社区卫生服务机构;看病难;看病贵;社区医疗机构;社区卫生机构;全科医师;双向转诊;信任度;		2008-01-23	2008			
CCND2008	双向转诊患者要追踪问效	衣晓峰通讯员 高晶霞	健康报	健康报	双向转诊;社区卫生服务机构;参考条件;		2008-01-17	2008			
CCND2008	哈尔滨要求对社区卫生服务双向转诊追踪问效	记者 衣晓峰靳万庆 通讯员 高晶霞	中国中医药报	中国中医药报	双向转诊;社区卫生服务;哈尔滨;		2008-01-17	2008			
CCND2008	名医下社区 无人识宝贝	记者 涂端玉实习生 李冀珩 通讯员 陈起坤	广州日报	广州日报	社区医院;社区卫生服务中心;手术量;双向转诊;		2008-01-09	2008			
CCND2008	苏州大医院与社区卫生站双向转诊	李仲勋周铮	新华日报	新华日报	双向转诊;社区卫生服务机构;社区医生;社区卫生站;		2008-01-08	2008			
CCND2007	杭州：鼓励离退休专家“沉”到社区	詹雅本报记者 李水根	健康报	健康报	社区卫生服务机构;杭州市卫生局;双向转诊;市级医院;离退休;		2007-12-27	2007			
CCND2007	山西将社区首诊双向转诊纳入医保	记者 杨学凤	保健时报	保健时报	双向转诊;社区首诊;		2007-11-22	2007			
CCND2007	老百姓不再为生病犯愁	李培元 本报记者 杨雁冰	广元日报	广元日报	社区卫生服务中心;社区居民;双向转诊;		2007-11-15	2007			
CCND2007	标准应向“小”医院倾斜	曹昱	江淮时报	江淮时报	社区卫生机构;双向转诊;医疗用房;		2007-11-13	2007			
CCND2007	宁夏建立双向转诊绿色通道	王德臣	健康报	健康报	双向转诊;社区卫生服务机构;绿色通道;		2007-10-31	2007			
CCND2007	居民为什么选择社区	新华社记者 俞俭	医药经济报	医药经济报	社区卫生服务机构;双向转诊;社区卫生服务站;		2007-10-01	2007			
CCND2007	北京双向转诊出新招	本报记者 魏赟	医药经济报	医药经济报	双向转诊;医疗卫生服务共同体;社区卫生服务中心;社区卫生服务机构;		2007-10-01	2007			
CCND2007	南京全面推进双向转诊	本报通讯员 臧继全	南京日报	南京日报	双向转诊;社区卫生服务机构;社区首诊;全面推进;		2007-09-30	2007			
ccnd2007	青岛：医保跟着双向转诊走	张忠田	健康报	健康报	双向转诊;社区卫生机构;		2007-09-05	2007			
ccnd2007	医院和社区需要实行“双向转诊”	本报记者 毛学农	江淮时报	江淮时报	双向转诊;城乡医院对口支援;社区卫生服务机构;		2007-08-28	2007			
CCND2007	一系列医疗保险优惠政策出台	王丽艳	青岛日报	青岛日报	医疗保险;医疗机构;双向转诊;医疗费;优惠政策;社区卫生服务机构;		2007-08-28	2007			
ccnd2007	“联合体”模式：社会事业二元并轨	本报记者 范利祥实习记者 孙晓丹 周小雍	21世纪经济报道	21世纪经济报道	联合体;外高桥;双向转诊;上海市;社区卫生服务中心;浦东新区;		2007-08-17	2007			
ccnd2007	南京建立双向转诊“直通车”	蒋廷玉	新华日报	新华日报	双向转诊;社区卫生服务中心;社区卫生机构;直通车;		2007-08-08	2007			
ccnd2007	病人是否转诊大医院 有参考了	本报记者 王眉灵	成都日报	成都日报	社区卫生服务机构;双向转诊;社区医生;		2007-08-05	2007			
ccnd2007	公立医院援手 社卫服务提质	秦洋实习生 辛鹤	山西日报	山西日报	社区卫生服务机构;公立医院;双向转诊;		2007-08-03	2007			
ccnd2007	“双向转诊”切实减轻居民就医负担	刘兰萍 记者 张平	南昌日报	南昌日报	双向转诊;社区卫生服务机构;城镇居民基本医疗保险;		2007-07-20	2007			
ccnd2007	江苏社区服务覆盖七成市民	凌军辉	医药经济报	医药经济报	社区卫生服务机构;城市社区卫生服务;双向转诊;社区服务;		2007-07-09	2007			
ccnd2007	我省首家社区卫生服务管理信息系统启用	记者 李卫中通讯员 任晓辉	山西经济日报	山西经济日报	社区卫生服务;管理信息系统;双向转诊;		2007-07-06	2007			
ccnd2007	医院手术社区康复 周到	本报记者 王眉灵	成都日报	成都日报	社区卫生服务中心;绿色通道;社区康复;双向转诊;		2007-06-19	2007			
ccnd2007	安徽为双向转诊立规矩	冯立中	健康报	健康报	双向转诊;社区卫生服务机构;社区卫生机构;立规矩;		2007-06-13	2007			
ccnd2007	北京三项举措支撑社区卫生功能转变	闫龑白莹	健康报	健康报	社区卫生;家庭病床;双向转诊;功能转变;		2007-06-06	2007			
ccnd2007	锻造精神 弘扬文化	记者 楼绍来 本报通讯员 李海英	上海中医药报	上海中医药报	中医医院;社区卫生服务;特色专科;疾病谱;医院文化;中医特色;主任医师;上海市科委;中医临床;门急诊;多样化发展;中药饮片;中医药大学;双向转诊;人才队伍建设;弘扬文化;		2007-05-18	2007			
ccnd2007	北仑社区“双向转诊”畅通	章关春通讯员 吴海翔 陈昌岳	健康报	健康报	双向转诊;社区卫生机构;		2007-05-10	2007			
ccnd2007	小病在社区 大病到医院 康复回社区	本报实习记者 王志芳	呼和浩特日报(汉)	呼和浩特日报(汉)	双向转诊;内蒙古医院;看病难、看病贵;		2007-05-09	2007			
ccnd2007	市北启动双向转诊	王丽艳	青岛日报	青岛日报	双向转诊;市北区;社区家庭医生;社区卫生服务中心;		2007-04-27	2007			
ccnd2007	双向转诊能否“三赢”	本版编辑本报记者 赖仁琼 王建新 王君平	人民日报	人民日报	双向转诊;社区卫生服务中心;社区卫生服务机构;社区医院;		2007-04-24	2007			
ccnd2007	青岛市“双向转诊”最终落地	王亮　代桂云	人民政协报	人民政协报	社区卫生服务机构;双向转诊;农工党;青岛市;		2007-04-07	2007			
ccnd2007	四方区推行双向转诊	王丽艳	青岛日报	青岛日报	双向转诊;社区卫生机构;医疗集团;社区卫生服务机构;四方区;		2007-04-06	2007			
ccnd2007	社区就诊报销比例上调至60%	张军	北京日报	北京日报	社区卫生服务机构;双向转诊;门诊医疗;报销比例;社区就诊;基本医疗保险诊疗项目;定点医疗机构;		2007-04-05	2007			
ccnd2007	社区医院患者热情鼓掌迎名医	本报记者　李学梅　通讯员　孟庆玲 蒋月荣	北京日报	北京日报	医院患者;对口支援;社区医生;双向转诊;社区卫生服务中心;		2007-04-02	2007			
ccnd2007	上海六院与社区卫生中心“双向转诊”	胡德荣　顾海鹰	健康报	健康报	双向转诊;社区卫生中心;社区卫生服务中心;		2007-04-02	2007			
ccnd2007	北京双向转诊有章可循	闫龑	健康报	健康报	双向转诊;社区卫生服务中心;社区医疗机构;		2007-04-02	2007			
ccnd2007	双向转诊在青岛“破土”	王丽艳	青岛日报	青岛日报	双向转诊;社区卫生服务机构;社区医生;		2007-03-21	2007			
ccnd2007	双向转诊体系中要做的工作		农村医药报（汉）	农村医药报（汉）	双向转诊;社区卫生服务站;社区医生;		2007-03-20	2007			
ccnd2007	医院社区结对 看病双向转诊	本报记者　 王眉灵	成都日报	成都日报	双向转诊;社区卫生服务中心;医院社区;		2007-03-19	2007			
ccnd2007	下月起大医院大夫每天坐诊社区医院	记者　李学梅	北京日报	北京日报	社区卫生服务机构;社区医院;对口支援;三级医院;双向转诊;		2007-03-15	2007			
ccnd2007	东城社区医院可与大医院双向转诊	刘墨非　赵阳	北京社会报	北京社会报	双向转诊;社区医院;社区卫生服务站;		2007-03-14	2007			
ccnd2007	大医院与社区打通双向“快行道”	记者　李学梅	北京日报	北京日报	北京肿瘤医院;双向转诊;		2007-03-13	2007			
ccnd2007	支援农村卫生“一帮四”	本版文 本报记者 王均珠	贵阳日报	贵阳日报	宅吉乡;卫生支援;乌当区;开阳县;双向转诊;		2007-03-13	2007			
ccnd2007	双向转诊上海变身	本报记者　 李蕴明	医药经济报	医药经济报	双向转诊;社区就诊;三级医疗机构;		2007-03-05	2007			
ccnd2007	今年，我们最想“议”这些	本版撰文 本报记者 倪艳 许震宁 刘晓	南京日报	南京日报	全国人大代表;公共财政体系;大陆投资;政协委员;双向转诊;社会主义;民生问题;公共安全;参保人员;审判委员会;基层卫生;		2007-03-03	2007			
ccnd2007	成华：正式启动双向转诊	匡华伟　李友华 本报记者　 林枫	成都日报	成都日报	双向转诊;社区卫生服务中心;社区医院;		2007-02-08	2007			
ccnd2007	北仑全面实行双向转诊	记者　蒋炜宁　通讯员　陈昌岳	宁波日报	宁波日报	双向转诊;社区卫生服务中心;社区卫生服务机构;		2007-02-07	2007			
ccnd2007	缓解看病难：让社区成为首诊选择	本报记者　 王海燕　简工博	解放日报	解放日报	社区卫生服务中心;双向转诊;看病难;		2007-02-02	2007			
ccnd2007	北京双向转诊标准逐渐明晰	闫龑	健康报	健康报	双向转诊;北京市卫生局;		2007-01-31	2007			
ccnd2007	北京市政协工作讲质量重效益	乌云斯琴	人民政协报	人民政协报	北京市;双向转诊;		2007-01-29	2007			
ccnd2007	双向转诊有了“绿色通道”	闫龑	健康报	健康报	双向转诊;社区卫生服务模式;北京东城区;绿色通道;		2007-01-24	2007			
ccnd2007	构建“哑铃型”城市卫生服务体系	本报记者　 魏赟	医药经济报	医药经济报	社区卫生服务机构;双向转诊;卫生工作;卫生部;公共卫生;卫生服务体系;基本卫生保健制度;哑铃型;分级医疗;		2007-01-15	2007			
